[19/100][450/1000] Loss_D:0.2970 | Loss_G:2.7133
[19/100][500/1000] Loss_D:0.1726 | Loss_G:4.1138
[19/100][550/1000] Loss_D:0.1019 | Loss_G:3.2777
[19/100][600/1000] Loss_D:0.3500 | Loss_G:3.4359
[19/100][650/1000] Loss_D:0.2669 | Loss_G:2.1118
[19/100][700/1000] Loss_D:0.6924 | Loss_G:4.4865
[19/100][750/1000] Loss_D:0.3763 | Loss_G:2.2953
[19/100][800/1000] Loss_D:0.3340 | Loss_G:3.6247
[19/100][850/1000] Loss_D:0.4745 | Loss_G:7.4603
[19/100][900/1000] Loss_D:0.1228 | Loss_G:5.0558
[19/100][950/1000] Loss_D:0.0988 | Loss_G:4.5613
[20/100][0/1000] Loss_D:0.1643 | Loss_G:3.7668
[20/100][50/1000] Loss_D:0.1911 | Loss_G:4.3280
[20/100][100/1000] Loss_D:0.2621 | Loss_G:4.2655
[20/100][150/1000] Loss_D:0.1539 | Loss_G:3.0549
[20/100][200/1000] Loss_D:0.3771 | Loss_G:3.5439
[20/100][250/1000] Loss_D:0.1496 | Loss_G:3.5467
[20/100][300/1000] Loss_D:0.9196 | Loss_G:2.0461
[20/100][350/1000] Loss_D:0.2499 | Loss_G:3.0827
[20/100][400/1000] Loss_D:0.1542 | Loss_G:3.3360
[20/100][450/1000] Loss_D:0.3940 | Loss_G:4.6253
[20/100][500/1000] Loss_D:0.1113 | Loss_G:4.7771
[20/100][550/1000] Loss_D:0.1883 | Loss_G:4.4331
[20/100][600/1000] Loss_D:0.4273 | Loss_G:1.8305
[20/100][650/1000] Loss_D:0.1412 | Loss_G:3.2653
[20/100][700/1000] Loss_D:0.3758 | Loss_G:2.8610
[20/100][750/1000] Loss_D:0.0868 | Loss_G:4.5716
[20/100][800/1000] Loss_D:0.0764 | Loss_G:4.2237
[20/100][850/1000] Loss_D:0.3302 | Loss_G:4.0642
[20/100][900/1000] Loss_D:0.4572 | Loss_G:3.1849
[20/100][950/1000] Loss_D:0.4451 | Loss_G:3.8411
[21/100][0/1000] Loss_D:0.2122 | Loss_G:2.9347
[21/100][50/1000] Loss_D:0.5688 | Loss_G:0.8246
